Subject,Session,Trial,Prime [Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Target[Trial],TargetDefinition.RESP[Trial],TargetDefinition.RT[Trial],TargetQuestion.RESP[Trial],TargetQuestion.RT[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],PrimeFirstResponseAccuracy,TargetFirstResponseAccuracy,PrimeCondition,RTrecognisePrime,RTrecogniseTarget
3,1,75,C o n g r e s s ,congress{SPACE},2244,c o n g r u e n t,{SPACE},9681,2,797,congruent{SPACE},3146,1,0,P,2385,2351
3,1,34,C o b a i n ,cobain{SPACE},2590,C o n n e r y,{SPACE},6782,2,1432,connery{SPACE},3318,1,0,P,4277,5905
3,1,32,c o n v e n i e n t ,convenient{SPACE},4384,c o v e n a n t ,{SPACE},7187,2,1405,covenant{SPACE},3019,1,0,P,6204,4934
3,1,11,d a w n ,dawn{SPACE},2324,D a n t e,{SPACE},4667,2,1384,dante{SPACE},2084,1,0,P,2832,1872
3,1,59,d i f f i c u l t,difficult{SPACE},4189,d e f a u l t,,0,2,4029,default{SPACE},2449,1,0,P,2596,1372
3,1,70,d e p t h,depth{SPACE},1524,d e p l e t e,,0,4,2244,deplete{SPACE},4560,1,0,P,1588,3479
3,1,12,d i g e s t ,digest{SPACE},2243,d i v e r g e,lenght,9027,2,2627,diverge{SPACE},2389,1,0,P,2322,2296
3,1,17,e c s t a t i c ,ecstatic{SPACE},2706,e c c e n t r i c,{SPACE},6316,2,1146,eccentric{SPACE},5790,1,0,P,5239,4658
3,1,73,e x e r c i s e ,exercise{SPACE},2342,e x o r c i s m ,,0,4,1863,exorcise{SPACE},6473,1,0,P,3889,2123
3,1,8,F a h r e n h e i t ,farenhiet{SPACE},5314,F a r a d a y,,0,2,2902,faraday{SPACE},2345,1,0,P,4214,3310
3,1,55,f o l d i n g,folding{SPACE},1982,f o l i a g e,,0,2,1662,foliage{SPACE},3093,1,0,P,5209,3405
3,1,41,g a r n i s h,garnish{SPACE},2548,G a r l a n d,,0,2,1016,garland{SPACE},2849,1,0,P,2203,4728
3,1,36,g o b l i n ,goblin{SPACE},2465,g o s l i n g,,0,2,1082,gosling{SPACE},3124,1,0,P,2858,4464
3,1,76,h a n d l e ,handle{SPACE},1570,H a n c o c k,linc,9404,1,2904,hancock{SPACE},1782,1,0,P,2117,5683
3,1,48,h a n d k e r c h i e f ,handkerchief{SPACE},8306,H e l s i n k i ,{SPACE},6269,2,1343,helsinki{SPACE},4282,1,0,P,4136,6733
3,1,7,h o l l y,holly{SPACE},1849,h o i s t,,0,4,3532,hoist{SPACE},2664,1,0,P,2399,2591
